YEAR-MONTH,Raffles,JNK,LQD
2016-01-31,100,100,100
2016-02-29,100,100,100
2016-03-31,100,103,104
2016-04-30,118,107,106
2016-05-31,118,107,105
2016-06-30,118,110,108
2016-07-31,130,112,110
2016-08-31,130,114,110
2016-09-30,130,115,110
2016-10-31,141,114,108
2016-11-30,141,114,104
2016-12-31,141,116,105
2017-01-31,148,118,106
2017-02-28,148,119,107
2017-03-31,148,119,107
2017-04-30,155,120,108
2017-05-31,155,122,109
2017-06-30,155,122,110
2017-07-31,160,123,111
2017-08-31,160,123,111
2017-09-30,160,124,111
2017-10-31,162,124,112
2017-11-30,162,124,111
2017-12-31,162,123,113
2018-01-31,168,124,112
2018-02-28,168,123,109
2018-03-31,168,122,109
2018-04-30,171,123,108
2018-05-31,171,122,108
2018-06-30,171,122,108
2018-07-31,173,125,109
2018-08-31,173,125,109
2018-09-30,173,126,109
2018-10-31,175,124,107
2018-11-30,175,123,106
2018-12-31,175,119,108
2019-01-31,161,127,112
2019-02-28,161,128,112
2019-03-31,161,130,115
2019-04-30,174,131,116
2019-05-31,174,129,118
2019-06-30,174,133,121
2019-07-31,178,133,122
2019-08-31,178,134,127
2019-09-30,178,134,126
2019-10-31,176,134,126
2019-11-30,176,135,127
2019-12-31,176,137,127
2020-01-31,189,138,131
2020-02-29,189,135,132
2020-03-31,189,120,124
2020-04-30,148,126,130
2020-05-31,148,131,133
2020-06-30,148,130,136
2020-07-31,176,137,140
2020-08-31,176,138,137
2020-09-30,176,136,137
2020-10-31,190,137,136
2020-11-30,190,142,141
2020-12-31,190,144,141
2021-01-31,226,145,139
2021-02-28,226,144,136
2021-03-31,226,146,134
2021-04-30,240,147,135
2021-05-31,240,147,136
2021-06-30,240,149,139
2021-07-31,250,149,141
2021-08-31,250,150,141
2021-09-30,250,150,138
2021-10-31,258,149,139
2021-11-30,258,147,139
2021-12-31,258,150,139
2022-01-31,256,147,134
2022-02-28,256,145,131
2022-03-31,256,143,127
2022-04-30,235,137,119
2022-05-31,235,139,121
2022-06-30,235,128,116
2022-07-31,240,137,122
2022-08-31,240,131,116
2022-09-30,240,126,109
2022-10-31,218,130,108
2022-11-30,218,135,116
2022-12-31,218,131,113
2023-01-31,225,138,120
2023-02-28,225,135,115
2023-03-31,225,138,119
2023-04-30,245,138,120
2023-05-31,245,136,118
2023-06-30,245,139,119
2023-07-31,250,140,119
2023-08-31,250,141,117
2023-09-30,250,138,113
2023-10-31,230,137,110
2023-11-30,230,144,119
2023-12-31,230,148,124
2024-01-31,268,149,124
2024-02-29,268,149,122
2024-03-31,268,151,123
2024-04-30,265,149,119
2024-05-31,265,151,122
2024-06-30,265,152,123
2024-07-31,263,155,126
2024-08-31,263,158,128
2024-09-30,263,160,131
2024-10-31,283,159,127
2024-11-30,283,161,129
2024-12-31,283,159,125
2025-01-31,269,163,127
2025-02-28,269,164,129
2025-03-31,269,161,129
2025-04-30,277,161,128
2025-05-31,277,164,129
2025-06-30,277,167,131
2025-07-31,278,168,131
2025-08-31,278,170,132
2025-09-30,278,172,135
2025-10-31,292,171,135
